time,frequency,amplitude,harmonic_index
0.000000,466.163762,0.503937,0
0.000000,456.367865,0.503937,0
0.010000,456.367865,0.503937,0
0.020000,456.367865,0.503937,0
0.030000,456.367865,0.503937,0
0.040000,456.367865,0.503937,0
0.050000,456.367865,0.503937,0
0.060000,456.367865,0.503937,0
0.070000,456.367865,0.503937,0
0.080000,456.367865,0.503937,0
0.090000,456.367865,0.503937,0
0.100000,456.367865,0.503937,0
0.110000,456.367865,0.503937,0
0.120000,456.367865,0.503937,0
0.130000,456.367865,0.503937,0
0.140000,456.367865,0.503937,0
0.150000,456.367865,0.503937,0
0.160000,456.367865,0.503937,0
0.170000,456.367865,0.503937,0
0.180000,456.367865,0.503937,0
0.190000,456.367865,0.503937,0
0.200000,456.367865,0.503937,0
0.210000,456.367865,0.503937,0
0.220000,456.367865,0.503937,0
0.230000,456.367865,0.503937,0
0.240000,456.367865,0.503937,0
0.250000,456.367865,0.503937,0
0.260000,456.367865,0.503937,0
0.270000,456.367865,0.503937,0
0.280000,456.367865,0.503937,0
0.290000,456.367865,0.503937,0
0.300000,456.367865,0.503937,0
0.310000,456.367865,0.503937,0
0.320000,456.367865,0.503937,0
0.330000,456.367865,0.503937,0
0.340000,456.367865,0.503937,0
0.350000,456.367865,0.503937,0
0.360000,456.367865,0.503937,0
0.370000,456.367865,0.503937,0
0.380000,456.367865,0.503937,0
0.390000,456.367865,0.503937,0
0.400000,456.367865,0.503937,0
0.410000,456.367865,0.503937,0
0.420000,456.367865,0.503937,0
0.430000,456.367865,0.503937,0
0.440000,456.367865,0.503937,0
0.450000,456.367865,0.503937,0
0.460000,456.367865,0.503937,0
0.470000,456.367865,0.503937,0
0.480000,456.367865,0.503937,0
0.490000,456.367865,0.503937,0
0.500000,456.367865,0.503937,0
0.510000,456.367865,0.503937,0
0.520000,456.367865,0.503937,0
0.530000,456.367865,0.503937,0
0.540000,456.367865,0.503937,0
0.550000,456.367865,0.503937,0
0.560000,456.367865,0.503937,0
0.570000,456.367865,0.503937,0
0.580000,456.367865,0.503937,0
0.590000,456.367865,0.503937,0
